Starting procces. Date and time is 9/5/2022, 3:22:43 PM


[9/5/2022, 3:22:43 PM] [INFO - SERVER]: Server listening on port 4000
[9/5/2022, 3:22:44 PM] [INFO - BUTTONS]: Loaded button: test.ts
[9/5/2022, 3:22:44 PM] [INFO - COMMANDS]: Loaded command: clear.ts
[9/5/2022, 3:22:44 PM] [INFO - COMMANDS]: Loaded command: dump.ts
[9/5/2022, 3:22:44 PM] [INFO - COMMANDS]: Loaded command: help.ts
[9/5/2022, 3:22:44 PM] [INFO - COMMANDS]: Loaded command: ping.ts
[9/5/2022, 3:22:44 PM] [INFO - FEATURES]: Loaded feature: OnGuildAddRegisterCommands.ts
[9/5/2022, 3:22:44 PM] [INFO - FEATURES]: Loaded feature: CreatePerGuildModel.ts
[9/5/2022, 3:22:43 PM] [INFO - CLIENT]: Logged in as Disbase - mattsivak#2279
[9/5/2022, 3:22:45 PM] [INFO - COMMANDS]: Successfully updated slash commands.
[9/5/2022, 3:22:45 PM] [INFO - DB]: Connected to database
